day,identifier,nb_hits,nb_visits,nb_product_pages,nb_orders,orders_amount,nb_touchpoints
2019-05-19,43,1823077,120724,607237,4005,260331.65,"{""direct"":779000,""email"":279861,""organic"":482801,""paid_search"":116860}"
2019-07-12,43,1145956,91286,371490,1289,44023.59,"{""direct"":410237,""email"":68185,""organic"":300461,""paid_search"":190449}"
2019-05-15,43,694999,78852,214092,15029,844440.48,"{""direct"":235566,""email"":57731,""organic"":215947,""paid_search"":66688}"
2019-09-18,43,226924,39526,35056,18096,1064970.86,"{""direct"":38753,""email"":11231,""organic"":25665,""paid_search"":11096}"
2019-05-05,43,1010398,93563,315837,3583,2367108.47,"{""direct"":350875,""email"":52667,""organic"":337928,""paid_search"":107335}"
2019-10-03,43,1015672,90908,315679,2069,90466.97,"{""direct"":371105,""email"":73139,""organic"":250426,""paid_search"":116633}"
2019-10-13,43,948714,79129,295390,5055,266915.77,"{""direct"":349049,""email"":60540,""organic"":263531,""paid_search"":118517}"
2019-12-03,43,832002,103020,230469,1606,79105.25,"{""direct"":285615,""email"":38842,""organic"":268824,""paid_search"":87612}"
2020-02-07,43,663315,71121,211772,1418,64770.69,"{""direct"":275549,""email"":69167,""organic"":204184,""paid_search"":67241}"
2020-01-16,43,1667619,134232,552325,1256,40001.73,"{""direct"":727394,""email"":210826,""organic"":331186,""paid_search"":246265}"
2020-03-28,43,893508,88122,281343,100,73117.86,"{""direct"":301366,""email"":93465,""organic"":267322,""paid_search"":118060}"
2019-09-03,43,241950,41886,50162,1298,74964.3,"{""direct"":42688,""email"":9632,""organic"":37440,""paid_search"":18460}"
2019-12-19,43,837707,96417,243153,1444,72811.77,"{""direct"":286241,""email"":71788,""organic"":232014,""paid_search"":115362}"
2020-05-05,43,1263125,127452,395194,865,49835.91,"{""direct"":410046,""email"":100309,""organic"":392365,""paid_search"":136820}"
2020-04-27,43,1133302,107313,369823,239,74967.92,"{""direct"":397770,""email"":81121,""organic"":375500,""paid_search"":116470}"
2020-03-04,43,1012597,92150,327003,26980,1266570.85,"{""direct"":429679,""email"":104444,""organic"":347917,""paid_search"":62617}"
2019-10-15,43,871863,85948,259885,20667,945491.2,"{""direct"":313408,""email"":144242,""organic"":188275,""paid_search"":72302}"
2019-10-02,43,1571283,169114,485847,3197,147689.91,"{""direct"":623446,""email"":187541,""organic"":299337,""paid_search"":153008}"
2020-01-31,43,1003509,87431,327250,32463,1293966.12,"{""direct"":444431,""email"":102655,""organic"":221287,""paid_search"":158826}"
2020-01-26,43,1412818,102387,488369,7132,284090.73,"{""direct"":662269,""email"":116103,""organic"":335739,""paid_search"":263463}"
2020-03-31,43,897390,90833,286197,85,77630.72,"{""direct"":293279,""email"":135994,""organic"":228508,""paid_search"":97821}"
2020-04-25,43,1345317,117356,421183,464,118022.08,"{""direct"":437259,""email"":171104,""organic"":431744,""paid_search"":126419}"
2020-01-06,43,1160569,89036,339866,1670,82739.05,"{""direct"":495743,""email"":65791,""organic"":252821,""paid_search"":148369}"
2020-03-11,43,760169,72300,248120,24452,1093711.9,"{""direct"":327916,""email"":68651,""organic"":253291,""paid_search"":72681}"
2020-04-05,43,1162535,98363,400071,0,,"{""direct"":428059,""email"":142417,""organic"":367571,""paid_search"":140413}"
2020-05-11,43,898873,93479,267009,7943,400133.21,"{""direct"":254016,""email"":20343,""organic"":323319,""paid_search"":96306}"
2019-08-06,43,933951,75710,284178,28340,1417025.26,"{""direct"":331392,""email"":95106,""organic"":238957,""paid_search"":124236}"
2019-06-22,43,1266214,108226,376459,1640,84777.07,"{""direct"":446172,""email"":141014,""organic"":327326,""paid_search"":133267}"
2019-12-24,43,430469,48327,120385,33920,1756048.77,"{""direct"":167430,""email"":28505,""organic"":128990,""paid_search"":51255}"
2019-12-12,43,1434052,149825,425023,1168,57293.99,"{""direct"":493859,""email"":146846,""organic"":362986,""paid_search"":152567}"
2019-11-09,43,801972,87243,269438,1032,58942.6,"{""direct"":324273,""email"":64416,""organic"":239229,""paid_search"":97225}"
2019-09-27,43,541164,62656,152779,3725,216590.13,"{""direct"":170390,""email"":57465,""organic"":133954,""paid_search"":85092}"
2019-07-21,43,1045546,72090,328052,5948,264581.89,"{""direct"":406136,""email"":33496,""organic"":285991,""paid_search"":199983}"
2019-11-10,43,803639,72874,254938,5180,328900.02,"{""direct"":281854,""email"":20805,""organic"":288694,""paid_search"":112741}"
2019-07-01,43,1795048,137818,567417,3677,140663.71,"{""direct"":566162,""email"":45088,""organic"":648728,""paid_search"":202137}"
2019-07-13,43,2001022,135074,724440,1857,69659.15,"{""direct"":777371,""email"":592233,""organic"":352561,""paid_search"":223025}"
2019-08-31,43,369760,40569,93048,33836,2121132.59,"{""direct"":127529,""email"":14377,""organic"":95062,""paid_search"":32098}"
2020-01-23,43,1132873,90324,383437,31669,1196795.28,"{""direct"":526828,""email"":114272,""organic"":222222,""paid_search"":191899}"
2019-06-12,43,1631772,131314,464545,2123,123976.83,"{""direct"":596635,""email"":190276,""organic"":370062,""paid_search"":147759}"
2020-04-28,43,1184534,118576,396688,517,153390.82,"{""direct"":445554,""email"":108016,""organic"":376284,""paid_search"":105822}"
2020-03-26,43,703118,68736,226914,1192,167505.42,"{""direct"":248606,""email"":93231,""organic"":189006,""paid_search"":78332}"
2020-04-11,43,1148196,97065,373304,54,168380,"{""direct"":392374,""email"":78247,""organic"":374248,""paid_search"":166864}"
2019-10-20,43,713561,69808,209732,3656,224268.8,"{""direct"":249360,""email"":20126,""organic"":222149,""paid_search"":118619}"
2019-08-08,43,521145,54805,146615,22766,1174502.07,"{""direct"":181353,""email"":32251,""organic"":174227,""paid_search"":51938}"
2019-04-23,43,707734,92811,255564,18394,2938224.28,"{""direct"":257517,""email"":56218,""organic"":211678,""paid_search"":71998}"
2020-03-15,43,613754,60207,199560,469,24875.52,"{""direct"":223684,""email"":35473,""organic"":229367,""paid_search"":52748}"
2020-04-28,45,1486152,265716,357144,10024,823742.44,"{""direct"":262223,""email"":169,""organic"":78322,""paid_search"":119040}"
